"# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.",,,,,,
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s),,,,,,
$state_name=Arizona,,,,,,
$city_name=Tucson,,,,,,
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
07:06:07:00:00,86,0.36,20.35,4.09,929.56,3.1
07:06:08:00:00,89.96,0.33,42.36,7.9,930.5,1.5
07:06:09:00:00,93.02,0.29,59.27,10.78,930.85,2.1
07:06:10:00:00,96.08,0.26,68.75,12.54,931.1,4.1
07:06:11:00:00,98.06,0.23,74.14,13.84,930.93,4.6
07:06:12:00:00,98.06,0.23,76.64,14.96,930.93,4.6
07:06:13:00:00,104,0.17,77.29,15.79,930.01,4.1
07:06:14:00:00,104,0.14,75.99,16.63,928.72,3.6
07:06:15:00:00,107.96,0.13,74.41,16.26,927.97,2.1
07:06:16:00:00,107.96,0.12,69.86,16.07,926.87,3.1
07:06:17:00:00,109.04,0.12,63.64,14.77,932.21,6.7
07:06:18:00:00,109.04,0.12,32.89,16.07,926.28,5.7
07:06:19:00:00,98.96,0.19,16.54,11.24,926.37,6.2
07:06:20:00:00,95,0.22,0,0,926.36,3.1
07:06:21:00:00,95,0.22,0,0,927.1,2.6
07:06:22:00:00,89.96,0.31,0,0,926.74,2.1
07:06:23:00:00,89.96,0.29,0,0,926.93,2.6
07:07:00:00:00,89.96,0.29,0,0,926.93,2.6
07:07:01:00:00,86,0.32,0,0,925.89,2.1
07:07:02:00:00,84.92,0.34,0,0,925.64,2.1
07:07:03:00:00,84.02,0.31,0,0,925.24,3.1
07:07:04:00:00,84.02,0.29,0,0,925.33,2.6
07:07:05:00:00,80.96,0.39,0,0,925.15,4.1
07:07:06:00:00,80.96,0.39,0,0,925.15,4.1
07:07:07:00:00,84.92,0.31,24.53,3.62,927.02,3.6
07:07:08:00:00,96.08,0.17,47.75,6.78,928.63,8.2
07:07:09:00:00,98.96,0.15,64.47,9.1,928.94,6.2
07:07:10:00:00,102.92,0.13,73.58,10.31,929.03,7.7
07:07:11:00:00,105.98,0.12,79.06,11.06,929.08,8.2
07:07:12:00:00,105.98,0.12,81.2,12.17,929.08,8.2
07:07:13:00:00,107.96,0.11,82.4,12.45,928.16,5.1
07:07:14:00:00,109.4,0.1,82.59,12.36,932.26,6.2
07:07:15:00:00,109.94,0.09,81.48,11.98,932.33,2.1
07:07:16:00:00,111.02,0.05,78.41,11.43,925.99,5.7
07:07:17:00:00,109.94,0.08,73.02,10.59,925.39,8.2
07:07:18:00:00,109.94,0.08,63.17,9.38,925.39,8.2
07:07:19:00:00,107.06,0.1,44.59,7.25,925,7.2
07:07:20:00:00,104,0.11,0,0,925.04,6.7
07:07:21:00:00,102.02,0.12,0,0,940.3,6.7
07:07:22:00:00,98.96,0.15,0,0,940.79,4.6
07:07:23:00:00,96.98,0.17,0,0,940.6,5.7
